Power (bhp),Engine Displacement (cc),Year of Manufacture,Registration Year,Fuel Type,Mileage (kmpl),Area,Brand,price (Lakh)
81.0,1197.0,2019,2019,3,22.0,177,18,575
121.0,1591.0,2017,2017,3,13.0,85,10,845
82.0,1197.0,2013,2013,3,18.5,8,10,365
86.0,1198.0,2012,2012,3,18.4,99,9,255
65.0,998.0,2023,2023,3,26.0,48,18,649
101.0,1462.0,2021,2021,3,18.9,99,18,975
118.0,998.0,2022,2022,3,18.0,6,10,1025
127.0,1248.0,2021,2021,1,18.9,89,26,1075
88.0,1451.0,2024,2024,3,18.9,8,16,2150
384.0,2996.0,2018,2018,3,18.9,177,19,58
160.0,1368.0,2017,2017,3,16.0,177,12,1095
113.0,1493.0,2020,2020,0,17.8,21,13,1231
58.0,1086.0,2019,2019,0,30.48,99,10,380
81.0,1197.0,2014,2014,3,18.9,65,10,279
81.0,1197.0,2017,2017,3,18.6,99,10,366
174.0,2755.0,2017,2017,0,12.9,52,27,3045
138.0,1349.0,2022,2022,3,14.34,52,16,1425
67.0,998.0,2019,2019,3,21.63,177,18,459
88.0,1197.0,2016,2016,3,18.9,177,10,559
127.0,1248.0,2022,2022,1,18.9,11,26,990
187.0,1995.0,2023,2023,0,16.55,89,2,6450
117.0,1497.0,2015,2015,3,17.4,177,9,499
113.0,1493.0,2021,2021,0,18.0,151,13,1591
118.0,1199.0,2020,2020,3,16.35,177,26,907
113.0,999.0,2022,2022,3,18.09,52,25,1590
81.0,1197.0,2015,2015,3,21.21,59,18,399
174.0,2755.0,2020,2020,0,12.9,52,27,35
81.0,1197.0,2019,2019,3,18.6,71,10,599
147.0,1498.0,2020,2020,3,18.4,7,28,1775
83.0,1197.0,2017,2017,3,21.4,27,18,534
121.0,1591.0,2018,2018,3,13.0,135,10,826
117.0,1497.0,2015,2015,3,18.0,169,9,625
105.0,1496.0,2020,2020,3,17.1,89,27,695
108.0,1197.0,2021,2021,3,16.5,99,17,828
103.0,1462.0,2021,2021,3,18.76,32,27,895
81.0,1197.0,2015,2015,3,18.9,65,10,374
88.0,1197.0,2015,2015,3,22.41,99,18,370
88.0,1248.0,2019,2019,0,24.3,151,18,895
148.0,2393.0,2021,2021,0,18.9,52,27,2325
103.0,1197.0,2016,2016,3,18.19,11,28,535
126.0,1582.0,2019,2019,0,17.6,8,10,1190
88.0,1591.0,2017,2017,3,18.9,177,10,949
88.0,1199.0,2021,2021,3,18.9,110,26,794
141.0,1451.0,2019,2019,3,13.96,61,16,1275
108.0,1197.0,2021,2021,3,16.5,7,17,1075
123.0,999.0,2013,2013,3,18.88,27,8,449
138.0,1353.0,2019,2019,3,16.5,8,13,1225
