title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,Ground Clearance,Seating Capacity,Drive Type,Length,No. of Airbags,Boot Space,Range,Battery Capacity,Charging Time DC,Charging Time AC,Global NCAP Safety Rating,Top Speed
2019 Maruti Swift Dzire VXI 1.2 BS IV,₹5.75 Lakh,"West, Thane",Jan 2019,Expired,Petrol,5 Seats,"21,379 Kms",Thane,First Owner,1197 cc,Manual,2019,1197 cc,81.80 bhp,22 kmpl,Petrol,,,,,,,,,,,,
2017 Hyundai Creta 1.6 VTVT AT SX Plus,₹8.45 Lakh,"Malad West, Mumbai",May 2017,Comprehensive,Petrol,5 Seats,"59,636 Kms",Mumbai,First Owner,1591 cc,Automatic,2017,1591 cc,121.3 bhp,13 kmpl,,190mm,5,FWD,,,,,,,,,
2013 Hyundai i20 Asta 1.2,₹3.65 Lakh,"Andheri West, Mumbai",Apr 2013,Comprehensive,Petrol,5 Seats,"25,000 Kms",Mumbai,First Owner,1197 cc,Manual,2013,1197 cc,82.85 bhp,18.5 kmpl,Petrol,,,,3995mm,,,,,,,,
2012 Honda Brio S Option MT,₹2.55 Lakh,"Mulund West, Mumbai",May 2012,Comprehensive,Petrol,5 Seats,"71,000 Kms",Thane,First Owner,1198 cc,Manual,2012,1198 cc,86.8 bhp,18.4 kmpl,Petrol,,,,3610mm,,,,,,,,
2023 Maruti Celerio ZXI Plus AMT BSVI,₹6.49 Lakh,"Ghatkopar West, Mumbai",Jul 2023,Comprehensive,Petrol,5 Seats,"8,760 Kms",kalyan,First Owner,998 cc,Automatic,2023,998 cc,65.71 bhp,26 kmpl,Petrol,,,,,2,,,,,,,
2021 Maruti XL6 Zeta AT,₹9.75 Lakh,"Mulund West, Mumbai",Jul 2021,Third Party,Petrol,6 Seats,"69,580 Kms",Mumbai,First Owner,1462 cc,Automatic,2021,1462 cc,101.64 bhp,,Petrol,,6,,,,209 Litres,,,,,,
2022 Hyundai Venue SX Opt iMT,₹10.25 Lakh,"Andheri, Mumbai",Oct 2022,Comprehensive,Petrol,5 Seats,"12,000 Kms",Mumbai,First Owner,998 cc,Manual,2022,998 cc,118.35 bhp,18 kmpl,Petrol,,,FWD,,,,,,,,,
2021 Tata Nexon EV XZ Plus LUX,₹10.75 Lakh,"Matunga West, Mumbai",Mar 2021,Comprehensive,Electric,5 Seats,"22,000 Kms",Mumbai,First Owner,,Automatic,2021,,127 bhp,,,,5,,,,,312 km,30.2 kWh,60 Mins,9.16 Hours,5 Star,
2024 MG Hector Plus Sharp Pro CVT 7 Str,₹21.50 Lakh,"Andheri West, Mumbai",Oct 2024,Comprehensive,Petrol,7 Seats,"3,700 Kms",Mumbai,First Owner,1451 cc,Automatic,2024,,,,,,,,,,,,,,,,
2018 Mercedes-Benz GLE 43 AMG Coupe,₹58 Lakh,"West, Thane",Nov 2018,Comprehensive,Petrol,5 Seats,"39,500 Kms",Mumbai,First Owner,2996 cc,Automatic,2018,2996 cc,384.87 bhp,,Petrol,,,AWD,,,,,,,,,250 kmph
2017 Jeep Compass 1.4 Limited,₹10.95 Lakh,"West, Thane",Dec 2017,Expired,Petrol,5 Seats,"45,654 Kms",Mumbai,First Owner,1368 cc,Automatic,2017,1368 cc,160 bhp,16 kmpl,,178mm,5,4X2,,,,,,,,,
2020 Kia Seltos HTK Plus AT D,₹12.31 Lakh,"Bazargate, Mumbai",Dec 2020,Comprehensive,Diesel,5 Seats,"12,31,000 Kms",Mumbai,First Owner,1493 cc,Automatic,2020,1493 cc,113.42 bhp,17.8 kmpl,Diesel,,5,2WD,,,,,,,,,
2019 Hyundai Santro Sportz CNG BSIV,₹3.80 Lakh,"Mulund West, Mumbai",Mar 2019,Expired,CNG,5 Seats,"74,229 Kms",Thane,First Owner,1086 cc,Manual,2019,1086 cc,58 bhp,30.48 km/kg,CNG,,,,,1,,,,,,,
2014 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹2.79 Lakh,"Kandivali East, Mumbai",Oct 2014,Comprehensive,Petrol,5 Seats,"67,870 Kms",Navi Mumbai,Third Owner,1197 cc,Manual,2014,1197 cc,81.86 bhp,18.9 kmpl,Petrol,,,,,2,,,,,,,
2017 Hyundai i20 1.2 Magna Executive,₹3.66 Lakh,"Mulund West, Mumbai",Oct 2017,Third Party,Petrol,5 Seats,"58,232 Kms",Mumbai,First Owner,1197 cc,Manual,2017,1197 cc,81.83 bhp,18.6 kmpl,Petrol,,,,3985mm,,,,,,,,
2017 Toyota Fortuner 2.8 2WD AT BSIV,₹30.45 Lakh,"Goregaon (w), Mumbai",Jul 2017,Comprehensive,Diesel,7 Seats,"29,000 Kms",Mumbai,First Owner,2755 cc,Automatic,2017,2755 cc,174.5 bhp,12.9 kmpl,,220mm,7,RWD,,,,,,,,,
2022 MG Astor Savvy Turbo AT BSVI,₹14.25 Lakh,"Goregaon (w), Mumbai",Mar 2022,Expired,Petrol,5 Seats,"11,900 Kms",vasai,First Owner,1349 cc,Automatic,2022,1349 cc,138.08 bhp,14.34 kmpl,Petrol,,5,,,6,,,,,,,
2019 Maruti Celerio X ZXI,₹4.59 Lakh,"West, Thane",Jul 2019,Comprehensive,Petrol,5 Seats,"56,545 Kms",vasai,First Owner,998 cc,Manual,2019,998 cc,67.05 bhp,21.63 kmpl,Petrol,,,,,1,,,,,,,
2016 Hyundai i20 Active 1.2 SX,₹5.59 Lakh,"West, Thane",Oct 2016,Comprehensive,Petrol,5 Seats,"23,950 Kms",Thane,First Owner,1197 cc,Manual,2016,,,,,,,,,,,,,,,,
2022 Tata Nexon EV XZ Plus Dark Edition,₹9.90 Lakh,"Antop Hill, Mumbai",Sept 2022,Comprehensive,Electric,5 Seats,"35,000 Kms",panvel,First Owner,,Automatic,2022,,127 bhp,,,,5,,,,,312 km,30.2 kWh,60 Mins,9.16 Hours,5 Star,
2023 BMW X3 2022-2025 xDrive20d Luxury Edition,₹64.50 Lakh,"Matunga West, Mumbai",Mar 2023,Comprehensive,Diesel,5 Seats,"8,500 Kms",Mumbai,First Owner,1995 cc,Automatic,2023,1995 cc,187.74 bhp,16.55 kmpl,Diesel,,5,AWD,,,,,,,,,
2015 Honda City i VTEC SV,₹4.99 Lakh,"West, Thane",Aug 2015,Comprehensive,Petrol,5 Seats,"30,373 Kms",Thane,First Owner,1497 cc,Manual,2015,1497 cc,117.3 bhp,17.4 kmpl,Petrol,,,,,,,,,,,,
2021 Kia Seltos GTX Plus Diesel AT,₹15.91 Lakh,Thane,Apr 2021,Comprehensive,Diesel,5 Seats,"52,000 Kms",Mumbai,First Owner,1493 cc,Automatic,2021,1493 cc,113.43 bhp,18 kmpl,Diesel,,5,FWD,,,,,,,,,
2020 Tata Nexon XZA Plus AMT S,₹9.07 Lakh,"West, Thane",Nov 2020,Comprehensive,Petrol,5 Seats,"28,932 Kms",Mumbai,First Owner,1199 cc,Automatic,2020,1199 cc,118.36 bhp,16.35 kmpl,Petrol,209,,,,,,,,,,,
