title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Mileage,Fuel,No. of Airbags,Length,Seating Capacity,Drive Type,Top Speed,Ground Clearance,Boot Space,Global NCAP Safety Rating,Range,Battery Capacity,Charging Time DC,Charging Time AC
2017 Maruti Ignis 1.2 AMT Delta BSIV,₹4.90 Lakh,"Naranpura Vistar, Ahmedabad",Sept 2017,Comprehensive,Petrol,5 Seats,"55,000 Kms",Ahmedabad,Second Owner,1197 cc,Automatic,2017,1197 cc,81.80 bhp,20.89 kmpl,Petrol,2,,,,,,,,,,,
2016 Honda Jazz 1.2 S i VTEC,₹4.37 Lakh,"Naranpura, Ahmedabad",May 2016,Expired,Petrol,5 Seats,"75,000 Kms",Ahmedabad,Second Owner,1199 cc,Manual,2016,1199 cc,88.7 bhp,18.7 kmpl,Petrol,,3955mm,,,,,,,,,,
2020 Maruti Alto 800 LXI,₹3.51 Lakh,"Krishnanagar, Ahmedabad",Feb 2020,Comprehensive,Petrol,5 Seats,"35,000 Kms",Ahmedabad,First Owner,796 cc,Manual,2020,796 cc,47.33 bhp,22.05 kmpl,Petrol,1,,,,,,,,,,,
2021 Toyota Urban cruiser Premium AT,₹9.51 Lakh,"Naranpura Vistar, Ahmedabad",Aug 2021,Comprehensive,Petrol,5 Seats,"50,000 Kms",Anand,First Owner,1462 cc,Automatic,2021,1462 cc,103.26 bhp,18.76 kmpl,Petrol,2,,,,,,,,,,,
2022 Maruti Baleno Zeta BSVI,₹6.09 Lakh,"Naroda, Ahmedabad",Mar 2022,Third Party,Petrol,5 Seats,"36,213 Kms",patan,First Owner,1197 cc,Manual,2022,1197 cc,88.50 bhp,22.35 kmpl,Petrol,6,,,,,,,,,,,
2019 Honda Amaze S Petrol BSIV,₹5 Lakh,Ahmedabad,2019,Expired,Petrol,5 Seats,"40,000 Kms",,Second Owner,1199 cc,Manual,2019,1199 cc,88.76 bhp,19.5 kmpl,Petrol,2,,,,,,,,,,,
2013 Nissan Micra Active XL Petrol,₹2.39 Lakh,"Gota, Ahmedabad",Jan 2014,Comprehensive,Petrol,5 Seats,"46,684 Kms",Surat,First Owner,1198 cc,Manual,2013,,,,,,,,,,,,,,,,
2014 Honda Mobilio S i-VTEC,₹2.90 Lakh,Ahmedabad,2014,Expired,Petrol,7 Seats,"80,000 Kms",Ahmedabad,Third Owner,1497 cc,Manual,2014,1497 cc,117.3 bhp,17.3 kmpl,Petrol,,,7,,,,,,,,,
2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹5.76 Lakh,"Gota, Ahmedabad",May 2019,Comprehensive,Petrol,5 Seats,"48,887 Kms",Ahmedabad,First Owner,1197 cc,Manual,2019,1197 cc,81.86 bhp,18.9 kmpl,Petrol,2,,,,,,,,,,,
2016 Fiat Punto EVO 1.3 Emotion,₹1.35 Lakh,"Sahil Residency, Ahmedabad",Oct 2016,Third Party,Diesel,5 Seats,"1,35,000 Kms",Ahmedabad,First Owner,1248 cc,Manual,2016,1248 cc,91.7 bhp,20.5 kmpl,Diesel,2,,,,,,,,,,,
