title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Seating Capacity,Drive Type,Mileage,Fuel,No. of Airbags,Length,Ground Clearance,Top Speed,Range,Battery Capacity,Charging Time DC,Charging Time AC,Regenerative Braking Levels,Boot Space,Global NCAP Safety Rating
2019 Kia Seltos HTK Plus AT D,₹11.50 Lakh,Chennai,2019,Expired,Diesel,5 Seats,"1,20,000 Kms",Chennai,First Owner,1493 cc,Automatic,2019,1493 cc,113.42 bhp,5,2WD,17.8 kmpl,Diesel,,,,,,,,,,,
2021 Audi A6 45 TFSI Technology WO Matrix BSVI,₹39.90 Lakh,"Thygaraya Nagar, Chennai",Mar 2021,Expired,Petrol,5 Seats,"53,000 Kms",HR98,First Owner,1984 cc,Automatic,2021,1984 cc,241.3 bhp,,,14.11 kmpl,Petrol,6,,,,,,,,,,
2017 Honda Jazz 1.2 V AT i VTEC,₹5.77 Lakh,"Vadapalani, Chennai",May 2017,Third Party,Petrol,5 Seats,"37,946 Kms",Chennai,First Owner,1199 cc,Automatic,2017,1199 cc,88.7 bhp,,,19 kmpl,Petrol,,3955mm,,,,,,,,,
2018 Renault Duster 85PS Diesel RxS,₹6.99 Lakh,"Thygaraya Nagar, Chennai",Feb 2019,Expired,Diesel,5 Seats,"84,000 Kms",Chennai,First Owner,1461 cc,Manual,2018,1461 cc,83.8 bhp,,FWD,19.87 kmpl,,,,205mm,,,,,,,,
2020 Maruti Alto 800 VXI BSVI,₹3.35 Lakh,"Ganapathipuram, Chennai",Oct 2020,Expired,Petrol,5 Seats,"93,690 Kms",Ranipet,First Owner,796 cc,Manual,2020,796 cc,47.33 bhp,,,22.05 kmpl,Petrol,2,,,,,,,,,,
2021 Mercedes-Benz E-Class Exclusive E 220d,₹62 Lakh,"Peelamedu, Coimbatore",Apr 2021,Comprehensive,Diesel,5 Seats,"7,000 Kms",Chennai,First Owner,1950 cc,Automatic,2021,,,,,,,,,,,,,,,,,
2012 Hyundai i20 Sportz Petrol,₹2.88 Lakh,"Thiruverkadu, Chennai",Jun 2012,Comprehensive,Petrol,5 Seats,"62,850 Kms",Chennai,Second Owner,1197 cc,Manual,2012,1197 cc,,,,17 kmpl,Petrol,,3940 mm,,,,,,,,,
2014 Maruti Swift ZDi,₹4.80 Lakh,"Kovilambakkam, Chennai",Jun 2014,Comprehensive,Diesel,5 Seats,"1,25,876 Kms",Chennai,First Owner,1248 cc,Manual,2014,1248 cc,74 bhp,,,22.9 kmpl,Diesel,,3850mm,,,,,,,,,
2012 Mercedes-Benz GL-Class 350 CDI Luxury,₹19.50 Lakh,"Thygaraya Nagar, Chennai",Aug 2012,Comprehensive,Diesel,7 Seats,"70,000 Kms",Chennai,Second Owner,2987 cc,Automatic,2012,2987 cc,224 bhp,,All-wheel drive with Electronic Traction,,Diesel,,,,210km/hr kmph,,,,,,,
2020 Honda City V MT,₹9.20 Lakh,"Vadapalani, Chennai",Oct 2020,Comprehensive,Petrol,5 Seats,"42,972 Kms",Chennai,First Owner,1498 cc,Manual,2020,1498 cc,119.35 bhp,,,18.6 kmpl,Petrol,4,,,,,,,,,,
