title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Ground Clearance,Power,Mileage,Fuel,Drive Type,Seating Capacity,No. of Airbags,Length,Global NCAP Safety Rating,Top Speed,Boot Space,Range,Battery Capacity,Charging Time DC,Charging Time AC
2021 Tata Nexon XZ Plus S 2020-2022,₹7.40 Lakh,"Thathawade, Pune",Jul 2021,Comprehensive,Petrol,5 Seats,"53,732 Kms",Thane,Second Owner,1199 cc,Manual,2021,1199 cc,209,118.36 bhp,17.57 kmpl,Petrol,,,,,,,,,,,
2016 Hyundai Creta 1.6 VTVT SX Plus,₹8.17 Lakh,Pune,2016,Expired,Petrol,5 Seats,"60,000 Kms",Navi Mumbai,Third Owner,1591 cc,Manual,2016,1591 cc,190mm,121.3 bhp,13 kmpl,,FWD,,,,,,,,,,
2017 Maruti S Cross DDiS 200 Alpha,₹5.50 Lakh,Pune,2017,Expired,Diesel,5 Seats,"1,00,000 Kms",Dhule,First Owner,1248 cc,Manual,2017,1248 cc,180mm,88.5 bhp,23.65 kmpl,,FWD,,,,,,,,,,
2021 Kia Sonet GTX Plus Diesel AT,₹11.40 Lakh,"Hadapsar, Pune",Feb 2021,Comprehensive,Diesel,5 Seats,"26,033 Kms",Pune,Second Owner,1493 cc,Automatic,2021,1493 cc,,114.41 bhp,,Diesel,2WD,5,6,,,,,,,,
2016 Mahindra XUV500 W8 2WD,₹9.99 Lakh,"Kasarwadi, Pune",Apr 2016,Comprehensive,Diesel,7 Seats,"42,000 Kms",Pimpri chinchwad,First Owner,2179 cc,Manual,2016,,,,,,,,,,,,,,,,
2011 Hyundai Santro Xing GL Plus,₹2.05 Lakh,Pune,2011,Expired,Petrol,5 Seats,"66,000 Kms",,First Owner,1086 cc,Manual,2011,1086 cc,,62.1 bhp,17.92 kmpl,Petrol,,,,3565mm,,,,,,,
2012 Honda City S,₹3.09 Lakh,"Pimple Saudagar, Pune",Apr 2012,Third Party,Petrol,5 Seats,"47,000 Kms",Mumbai,Second Owner,1497 cc,Manual,2012,1497 cc,,116.4 bhp,16.8 kmpl,Petrol,,,,,,,,,,,
2023 Tata Nexon Creative Plus AMT,₹10 Lakh,Pune,2023,Expired,Petrol,5 Seats,"10,000 Kms",Pimpri chinchwad,First Owner,1199 cc,Automatic,2023,,,,,,,,,,,,,,,,
2012 Honda Brio E MT,₹1.95 Lakh,"Aundh, Pune",Dec 2012,Comprehensive,Petrol,5 Seats,"65,000 Kms",Pune,Second Owner,1198 cc,Manual,2012,1198 cc,,86.8 bhp,19.4 kmpl,Petrol,,,,3610mm,,,,,,,
2015 Hyundai Xcent 1.2 Kappa Base,₹3.25 Lakh,"Kothrud, Pune",Dec 2015,Expired,Petrol,5 Seats,"94,000 Kms",Pimpri chinchwad,First Owner,1197 cc,Manual,2015,1197 cc,,82 bhp,19.1 kmpl,Petrol,,,,,,,,,,,
