title,price,location,Registration Year,Insurance,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Engine,Power,Seating Capacity,Fuel,Mileage,No. of Airbags,Length,Drive Type,Ground Clearance,Boot Space,Global NCAP Safety Rating,Range,Battery Capacity,Charging Time AC,Charging Time DC,Top Speed
2019 Toyota Innova Crysta 2.4 ZX MT BSIV,₹19 Lakh,"West, Thane",Sept 2019,Third Party,Diesel,7 Seats,"1,25,000 Kms",Mumbai,First Owner,2393 cc,Manual,2019,,,,,,,,,,,,,,,,
2013 Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,₹7.90 Lakh,"West, Thane",Mar 2013,Expired,Diesel,8 Seats,"1,60,000 Kms",panvel,First Owner,2494 cc,Manual,2013,2494 cc,100.6 bhp,7,Diesel,,,,,,,,,,,,
2015 Tata Zest Quadrajet 1.3 XMA,₹4.50 Lakh,Thane,Jul 2015,Expired,Diesel,5 Seats,"59,879 Kms",Mumbai,First Owner,1248 cc,Automatic,2015,1248 cc,88.7 bhp,,Diesel,21.58 kmpl,2,,,,,,,,,,
2017 Honda Jazz 1.2 V AT i VTEC,₹5.50 Lakh,"Malad, Mumbai",Oct 2017,Comprehensive,Petrol,5 Seats,"29,006 Kms",Mumbai,First Owner,1199 cc,Automatic,2017,1199 cc,88.7 bhp,,Petrol,19 kmpl,,3955mm,,,,,,,,,
2015 Nissan Micra XV,₹3.67 Lakh,"West, Thane",Mar 2016,Comprehensive,Petrol,5 Seats,"34,537 Kms",Thane,First Owner,1198 cc,Manual,2015,1198 cc,75 bhp,,Petrol,18.06 kmpl,,3780mm,,,,,,,,,
2016 Renault KWID RXL,₹2.20 Lakh,Thane,2016,Expired,Petrol,5 Seats,"60,000 Kms",,First Owner,799 cc,Manual,2016,799 cc,53.3 bhp,,Petrol,25.17 kmpl,1,,,,,,,,,,
2021 Tata Nexon EV XZ Plus LUX,₹10.75 Lakh,"Matunga West, Mumbai",Mar 2021,Comprehensive,Electric,5 Seats,"22,000 Kms",Mumbai,First Owner,,Automatic,2021,,,,,,,,,,,,,,,,
2024 MG Hector Plus Sharp Pro CVT 7 Str,₹21.50 Lakh,"Andheri West, Mumbai",Oct 2024,Comprehensive,Petrol,7 Seats,"3,700 Kms",Mumbai,First Owner,1451 cc,Automatic,2024,,,,,,,,,,,,,,,,
2015 Skoda Rapid 1.5 TDI Ambition,₹5.30 Lakh,"West, Thane",Feb 2016,Expired,Diesel,5 Seats,"63,333 Kms",Mumbai,First Owner,1498 cc,Manual,2015,1498 cc,103.52 bhp,,Diesel,21.14 kmpl,,,,,,,,,,,
2018 Mercedes-Benz GLE 43 AMG Coupe,₹58 Lakh,"West, Thane",Nov 2018,Comprehensive,Petrol,5 Seats,"39,500 Kms",Mumbai,First Owner,2996 cc,Automatic,2018,,,,,,,,,,,,,,,,
