Year of Manufacture,Kms Driven,Power,Mileage,Engine Displacement,Brand,Model,Transmission,Fuel Type,City,price
2019,21379,81.8,22.0,1197.0,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,Petrol,Thane,575000
2017,59636,121.3,13.0,1591.0,Hyundai,Creta 1.6 VTVT AT SX Plus,Automatic,Petrol,Mumbai,844999
2013,25000,82.85,18.5,1197.0,Hyundai,i20 Asta 1.2,Manual,Petrol,Mumbai,365000
2012,71000,86.8,18.4,1198.0,Honda,Brio S Option MT,Manual,Petrol,Mumbai,254999
2023,8760,65.71,26.0,998.0,Maruti,Celerio ZXI Plus AMT BSVI,Automatic,Petrol,Mumbai,649000
2021,69580,101.64,19.529431028174166,1462.0,Maruti,XL6 Zeta AT,Automatic,Petrol,Mumbai,975000
2022,12000,118.35,18.0,998.0,Hyundai,Venue SX Opt iMT,Manual,Petrol,Mumbai,1025000
2021,22000,127.0,19.529431028174166,1440.1495461749028,Tata,Nexon EV XZ Plus LUX,Automatic,Electric,Mumbai,1075000
2024,3700,108.91762795275592,19.529431028174166,1451.0,MG,Hector Plus Sharp Pro CVT 7 Str,Automatic,Petrol,Mumbai,2150000
2018,39500,384.87,19.529431028174166,2996.0,Mercedes-Benz,GLE 43 AMG Coupe,Automatic,Petrol,Thane,5800000
2017,45654,160.0,16.0,1368.0,Jeep,Compass 1.4 Limited,Automatic,Petrol,Thane,1095000
2020,1231000,113.42,17.8,1493.0,Kia,Seltos HTK Plus AT D,Automatic,Diesel,Mumbai,1231000
2019,74229,58.0,30.48,1086.0,Hyundai,Santro Sportz CNG BSIV,Manual,CNG,Mumbai,380000
2014,67870,81.86,18.9,1197.0,Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Manual,Petrol,Mumbai,279000
2017,58232,81.83,18.6,1197.0,Hyundai,i20 1.2 Magna Executive,Manual,Petrol,Mumbai,366000
2017,29000,174.5,12.9,2755.0,Toyota,Fortuner 2.8 2WD AT BSIV,Automatic,Diesel,Mumbai,3045000
2022,11900,138.08,14.34,1349.0,MG,Astor Savvy Turbo AT BSVI,Automatic,Petrol,Mumbai,1425000
2019,56545,67.05,21.63,998.0,Maruti,Celerio X ZXI,Manual,Petrol,Thane,459000
2016,23950,108.91762795275592,19.529431028174166,1197.0,Hyundai,i20 Active 1.2 SX,Manual,Petrol,Thane,559000
2022,35000,127.0,19.529431028174166,1440.1495461749028,Tata,Nexon EV XZ Plus Dark Edition,Automatic,Electric,Mumbai,990000
2023,8500,187.74,16.55,1995.0,BMW,X3 2022-2025 xDrive20d Luxury Edition,Automatic,Diesel,Mumbai,6450000
2015,30373,117.3,17.4,1497.0,Honda,City i VTEC SV,Manual,Petrol,Thane,499000
2021,52000,113.43,18.0,1493.0,Kia,Seltos GTX Plus Diesel AT,Automatic,Diesel,Coimbatore,1591000
2020,28932,118.36,16.35,1199.0,Tata,Nexon XZA Plus AMT S,Automatic,Petrol,Thane,907000
2022,18000,113.98,18.09,999.0,Skoda,Kushaq 1.0 TSI Monte Carlo AT,Automatic,Petrol,Mumbai,1590000
2015,45000,81.8,21.21,1197.0,Maruti,Swift VXI,Manual,Petrol,Mumbai,399000
2020,26000,174.5,12.9,2755.0,Toyota,Fortuner 2.8 2WD AT BSIV,Automatic,Diesel,Mumbai,3500000
2019,28001,81.86,18.6,1197.0,Hyundai,i20 Sportz Plus BSIV,Manual,Petrol,Mumbai,599000
2020,47000,147.94,18.4,1498.0,Volkswagen,T-Roc TSI,Automatic,Petrol,Mumbai,1775000
2017,30600,83.1,21.4,1197.0,Maruti,Baleno 1.2 Delta,Manual,Petrol,Mumbai,534000
2018,58000,121.3,13.0,1591.0,Hyundai,Creta 1.6 VTVT SX Plus,Manual,Petrol,Mumbai,826000
2015,46500,117.3,18.0,1497.0,Honda,City i VTEC CVT VX,Automatic,Petrol,Mumbai,625000
2020,16900,105.94,17.1,1496.0,Toyota,Yaris G,Manual,Petrol,Mumbai,695000
2021,48337,108.62,16.5,1197.0,Mahindra,XUV300 W8 Option AMT BSVI,Automatic,Petrol,Mumbai,827999
2021,42000,103.26,18.76,1462.0,Toyota,Urban cruiser Premium AT,Automatic,Petrol,Mumbai,894999
2015,46071,81.86,18.9,1197.0,Hyundai,Grand i10 1.2 Kappa Asta,Manual,Petrol,Mumbai,374000
2015,77489,88.5,22.41,1197.0,Maruti,Swift Dzire VXI,Manual,Petrol,Mumbai,370000
2019,58000,88.5,24.3,1248.0,Maruti,Vitara Brezza ZDi,Manual,Diesel,Coimbatore,894999
2021,28000,148.0,19.529431028174166,2393.0,Toyota,Innova Crysta 2.4 GX 7 STR AT,Automatic,Diesel,Mumbai,2325000
2016,76000,103.5,18.19,1197.0,Volkswagen,Vento 1.2 TSI Comfortline AT,Automatic,Petrol,Mumbai,535000
2019,61000,126.2,17.6,1582.0,Hyundai,Creta 1.6 SX Automatic Diesel,Automatic,Diesel,Mumbai,1190000
2017,37926,108.91762795275592,19.529431028174166,1591.0,Hyundai,Creta 1.6 VTVT AT SX Plus,Automatic,Petrol,Thane,949000
2021,53506,108.91762795275592,19.529431028174166,1199.0,Tata,Nexon XZA Plus Dark Edition,Automatic,Petrol,Navi Mumbai,794000
2019,33000,141.0,13.96,1451.0,MG,Hector Sharp DCT,Automatic,Petrol,Mumbai,1275000
2021,14900,108.62,16.5,1197.0,Mahindra,XUV300 W8 Option AMT BSVI,Automatic,Petrol,Mumbai,1075000
2013,34000,123.37,18.88,999.0,Ford,Ecosport 1.0 Ecoboost Titanium Optional,Manual,Petrol,Mumbai,449000
2019,59000,138.08,16.5,1353.0,Kia,Seltos GTX Plus DCT,Automatic,Petrol,Mumbai,1225000
2020,43000,120.69,15.9,1496.0,Ford,Ecosport 1.5 Petrol Titanium Plus,Manual,Petrol,Mumbai,1021000
2015,41075,119.35,18.6,1498.0,Honda,City VX MT,Manual,Petrol,Mumbai,605000
2021,22000,127.0,19.529431028174166,1440.1495461749028,Tata,Nexon EV XZ Plus LUX,Automatic,Electric,Mumbai,975000
2019,24000,67.0,22.5,999.0,Datsun,RediGO 1.0 T Option Limited Edition,Manual,Petrol,Mumbai,325000
2012,74000,108.91762795275592,13.0,2987.0,Mercedes-Benz,S-Class S 300,Automatic,Petrol,Mumbai,1375000
2022,28009,108.91762795275592,19.529431028174166,1199.0,Tata,Nexon XZA Plus HS AMT,Automatic,Petrol,Mumbai,827000
